EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.02,0,0,2000,1052.356,0.09696827739035692,0.13788216636125922,5.903031350198362e-05
2,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.25,0,0,2000,1248.712,0.14696860651497973,0.209867612536532,0.018675782708094793
3,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.5,0,0,2000,1359.412,0.3263489946003842,0.47867965468402124,0.24033554691479606
4,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.75,0,0,2000,1294.85,0.5321533444360416,0.7535997484150677,0.45050598653276336
5,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,1,0,0,2000,1175.502,0.687047806275676,0.9074237290916778,0.5840349758659059
6,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.02,0,0,2000,425.244,-0.09267645656817307,0.11049120575220513,0.002538347967152715
7,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.25,0,0,2000,683.2,-0.1893540977032006,0.2277611363454708,0.1031132982023861
8,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.5,0,0,2000,770.016,-0.29710419946911276,0.4127798770218807,0.33956844674617015
9,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.75,0,0,2000,707.776,-0.3270925525521042,0.5492018217624972,0.5255017408099085
10,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,1,0,0,2000,610.796,-0.2450231087635594,0.5757138185561973,0.6622115270097051
11,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.02,0,0,2000,320.376,-0.11768436035249415,0.1071000939378289,0.002669649302347852
12,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.25,0,0,2000,541.406,-0.25472871058951063,0.22922933005274723,0.1650270481921513
13,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.5,0,0,2000,595.954,-0.3497784180081363,0.37609470115664345,0.3924541800452246
14,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,0.75,0,0,2000,527.258,-0.3805202525762285,0.47810153638786457,0.5845118163987176
15,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.01,1,0,0,2000,439.442,-0.28981152978315416,0.46133172978632814,0.7187386971201094
16,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.02,0,0,2000,219.898,-0.16293523303438068,0.10439752051649809,0.003549739506642378
17,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.25,0,0,2000,412.086,-0.3082753890188536,0.21845707187549387,0.2484515370900493
18,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.5,0,0,2000,417.424,-0.3601211808149136,0.34246258418195674,0.4919549496972276
19,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,0.75,0,0,2000,362.062,-0.3786733580507667,0.41111309329384893,0.6715034291026907
20,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.02,1,0,0,2000,290.97,-0.2712842754575534,0.3524888506629362,0.7799333242313927
21,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.02,0,0,2000,157.396,-0.19034111859787806,0.10298610152655271,0.010159995907819968
22,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.25,0,0,2000,296.382,-0.30858471575480356,0.1949990616212404,0.3570471284678963
23,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.5,0,0,2000,286.132,-0.39095729830955184,0.31051472416330883,0.5835806105437424
24,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,0.75,0,0,2000,221.35,-0.3591064972693938,0.33962461070528044,0.7512033775404866
25,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.04,1,0,0,2000,165.86,-0.24965314115944348,0.2709736839845547,0.8343752537584743
26,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.02,0,0,2000,103.972,-0.22240227985482428,0.10058126556532712,0.013915824293226055
27,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.25,0,0,2000,196.892,-0.3333278317444693,0.170321238007262,0.4376488444952253
28,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.5,0,0,2000,174.328,-0.3760188857720608,0.28640377580978266,0.6681177675696384
29,20,2000,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.08,0.75,0,0,2000,126.882,-0.3295307425606679,0.28664266625317353,0.8035008884917224
