EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0,0,0,500,238.228,0.576766544311477,0.11502896777077574,0.0
2,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.05,0,0,500,253.724,0.7337963349122337,0.3375231405017964,0.04355555555555552
3,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.1,0,0,500,249.212,0.8066994370050368,0.39572847899197006,0.09422222222222201
4,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.15,0,0,500,236.738,0.8524938723211068,0.4116718065578302,0.12888888888888858
5,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.2,0,0,500,221.884,0.8790920438059967,0.41410702884280054,0.17511111111111063
6,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.25,0,0,500,213.198,0.8982068606030091,0.4229811698631334,0.21065277777777716
7,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0,0,0,500,174.53,0.48567211400238824,0.09902690542511902,0.0034666666666666665
8,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.05,0,0,500,194.598,0.5117136587000347,0.2753173528565778,0.04711111111111106
9,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.1,0,0,500,196.764,0.5414602678343066,0.3147607537280157,0.09855555555555534
10,10,500,<function betadist_payoff at 0x10071b400>,<function randomshock at 0x10071bae8>,<function epsilongreedy_strategy at 0x10071bb70>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.15,0,0,500,192.488,0.5792221113466915,0.32185211758274923,0.13927777777777742
