EXPERIMENT,ARMS,TURNS,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,LATENCY,INITIAL_LEARNING,MEMORY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.02,0,0,500,316.356,0.3478069620011515,0.15618487596101238,6.166111987040224e-05
2,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.25,0,0,500,333.042,0.36737508807709474,0.1756953156761741,0.0076314538575770465
3,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.5,0,0,500,359.282,0.46650556130988674,0.2683717452559338,0.08278226053666662
4,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,0.75,0,0,500,361.31,0.6194527547300686,0.4155174038840316,0.2582876971806011
5,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0,1,0,0,500,341.008,0.741339998498907,0.5231161477919186,0.39864198579812915
6,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.02,0,0,500,226.592,0.20342075660359338,0.12708291409638187,0.002166759952990688
7,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.25,0,0,500,262.948,0.19809099909911632,0.1619981766221551,0.01990253366985714
8,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.5,0,0,500,293.27,0.22016927945611295,0.2518197113276772,0.10679139569002814
9,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,0.75,0,0,500,287.03,0.2657220203127802,0.3602409032576111,0.26747311177782107
10,10,500,<function uniform_payoff at 0x10071b2f0>,<function randomshock at 0x10071bae8>,<function softmax_strategy at 0x10071bd08>,<function belief_with_latency_and_memory at 0x10071b9d8>,0.005,1,0,0,500,266.61,0.29371602004260544,0.44837201371297003,0.3971838373177885
