EXPERIMENT,PAYOFF_FXN,TURBULENCE_FXN,STRATEGY_FXN,BELIEF_FXN,TURBULENCE,STRATEGY,MEAN_SCORE,MEAN_KNOWLEDGE,MEAN_OPINION,MEAN_PROBEXPLORE
1,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0,0.02,240.54984,0.5887658931896337,0.11740474664947988,0.00015273848080601314
2,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0,0.25,264.28376,0.6108914960251363,0.14912707650850626,0.01681578547889364
3,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0,0.5,281.21776,0.6746283433215109,0.23947365316964977,0.13051335879231235
4,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0,0.75,271.51536,0.7519357325779585,0.3395005661512426,0.29276711687830353
5,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0,1,247.77056,0.8135325098710081,0.40243285436259396,0.42023493587741856
6,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.005,0.02,170.21288,0.48457592340615446,0.09694130680436595,0.002493863531219787
7,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.005,0.25,201.61912,0.4828581072591496,0.13602577742203428,0.037482242971489256
8,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.005,0.5,222.06128,0.4812819169136171,0.22014049070485855,0.1660448352663125
9,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.005,0.75,213.08712,0.5005508605683914,0.3001611427555927,0.32451599322667685
10,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.005,1,196.28344,0.5345051504784596,0.3483516263476854,0.4509532272279908
11,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.01,0.02,132.82624,0.4478638108681106,0.08688048083984058,0.004235724568047536
12,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.01,0.25,164.9548,0.4274732935036718,0.12861385186470575,0.054631449110987315
13,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.01,0.5,184.73464,0.4039118956118715,0.20765628999948124,0.19579054794869505
14,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.01,0.75,177.64224,0.4064698912599231,0.2755739317421541,0.3548347280187826
15,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.01,1,162.69824,0.42970678808153284,0.3100231181611725,0.48412805158361477
16,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.02,0.02,95.20992,0.42120016087122863,0.07589385205237942,0.005766488695247967
17,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.02,0.25,126.49024,0.39152385136382545,0.11993597856497262,0.08300451752967103
18,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.02,0.5,141.88304,0.35273839252961603,0.18982139820466365,0.2474215084038898
19,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.02,0.75,136.48136,0.34732899399725126,0.24415015359924278,0.40687277041045816
20,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.02,1,121.72512,0.3656341833685042,0.2640105245554736,0.5339942007658536
21,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.04,0.02,63.87024,0.40415206176147256,0.0662612050773909,0.007751408005272412
22,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.04,0.25,91.62064,0.36526915357660344,0.1090410818681216,0.12301503948434653
23,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.04,0.5,101.73152,0.32622950730429495,0.16936085706699786,0.3130824721044789
24,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.04,0.75,95.61976,0.3221621141484973,0.20993954090967326,0.47892031765359655
25,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.04,1,83.05456,0.34192408957897197,0.21548161875289049,0.5987896630787322
26,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.08,0.02,42.05344,0.3918993194373115,0.05812247155793155,0.008067809555407604
27,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.08,0.25,62.99616,0.34923444849381763,0.09695949452393958,0.1718219001653669
28,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.08,0.5,69.1592,0.31848791553849065,0.14900792644410515,0.38645005664340903
29,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.08,0.75,61.31536,0.31356392192291327,0.17958785665430008,0.5554372264186831
30,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.08,1,51.60016,0.3440045388343425,0.17514144335217285,0.6624900717070331
31,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.16,0.02,25.31424,0.3765008869819914,0.05259345256030781,0.009356252038176074
32,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.16,0.25,40.58904,0.3394693171406447,0.08412916799472261,0.2222425076336159
33,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.16,0.5,42.51736,0.30527621931799453,0.13433096439660291,0.4590791654335132
34,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.16,0.75,36.27272,0.31188630858572275,0.15661570998456872,0.6174419470924963
35,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.16,1,28.9784,0.34485710777486694,0.14510758864323048,0.7091656152956016
36,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.32,0.02,13.62456,0.36934325208053886,0.0478220175883858,0.009340246464896874
37,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.32,0.25,23.88608,0.3318761767222537,0.0741523392284626,0.26107309212178137
38,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.32,0.5,23.54352,0.3017669705810491,0.12482041730213654,0.5174654810770304
39,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.32,0.75,19.21392,0.31347296455088386,0.14015612535205452,0.6634485604834895
40,<function betadist_payoff at 0x009275D0>,<function randomshock at 0x009279C0>,<function softmax_strategy at 0x00927540>,<function simplebelief at 0x009278A0>,0.32,1,15.146,0.3495450987022241,0.12706713983722415,0.7384650168807521
